#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A2E28D
#Date Time: 2026-04-02 18:40:56.302
#Sample rate: 1e+08Hz
#Samples: 4096

Time (s),I2S
0.01855777,R h00000000
0.01855778,R h00000000
0.01855779,R h00000000
0.0185578,R h00000000
0.01855781,R h00000000
0.01855782,R h00000000
0.01855783,R h00000000
0.01855784,R h00000000
0.01855785,R h00000000
0.01855786,R h00000000
0.01855787,R h00000000
0.01855788,R h00000000
0.01855789,R h00000000
0.0185579,R h00000000
0.01855791,R h00000000
0.01855792,R h00000000
0.01855793,R h00000000
0.01855794,R h00000000
0.01855795,R h00000000
0.01855796,R h00000000
0.01855797,R h00000000
0.01855798,R h00000000
0.01855799,R h00000000
0.018558,R h00000000
0.01855801,R h00000000
0.01855802,R h00000000
0.01855803,R h00000000
0.01855804,R h00000000
0.01855805,R h00000000
0.01855806,R h00000000
0.01855807,R h00000000
0.01855808,R h00000000
0.01855809,R h00000000
0.0185581,R h00000000
0.01855811,R h00000000
0.01855812,R h00000000
0.01855813,R h00000000
0.01855814,R h00000000
0.01855815,R h00000000
0.01855816,R h00000000
0.01855817,R h00000000
0.01855818,R h00000000
0.01855819,R h00000000
0.0185582,R h00000000
0.01855821,R h00000000
0.01855822,R h00000000
0.01855823,R h00000000
0.01855824,R h00000000
0.01855825,R h00000000
0.01855826,R h00000000
0.01855827,R h00000000
0.01855828,R h00000000
0.01855829,R h00000000
0.0185583,R h00000000
0.01855831,R h00000000
0.01855832,R h00000000
0.01855833,R h00000000
0.01855834,R h00000000
0.01855835,R h00000000
0.01855836,R h00000000
0.01855837,R h00000000
0.01855838,R h00000000
0.01855839,R h00000000
0.0185584,R h00000000
0.01855841,R h00000000
0.01855842,R h00000000
0.01855843,R h00000000
0.01855844,R h00000000
0.01855845,R h00000000
0.01855846,R h00000000
0.01855847,R h00000000
0.01855848,R h00000000
0.01855849,R h00000000
0.0185585,R h00000000
0.01855851,R h00000000
0.01855852,R h00000000
0.01855853,R h00000000
0.01855854,R h00000000
0.01855855,R h00000000
0.01855856,R h00000000
0.01855857,R h00000000
0.01855858,R h00000000
0.01855859,R h00000000
0.0185586,R h00000000
0.01855861,R h00000000
0.01855862,R h00000000
0.01855863,R h00000000
0.01855864,R h00000000
0.01855865,R h00000000
0.01855866,R h00000000
0.01855867,R h00000000
0.01855868,R h00000000
0.01855869,R h00000000
0.0185587,R h00000000
0.01855871,R h00000000
0.01855872,R h00000000
0.01855873,R h00000000
0.01855874,R h00000000
0.01855875,R h00000000
0.01855876,R h00000000
0.01855877,R h00000000
0.01855878,R h00000000
0.01855879,R h00000000
